C105557	HGNC:12009
C105560	HGNC:2977
C105563	HGNC:3051
C105566	HGNC:11914
C105569	HGNC:13469
C105572	HGNC:12538
C105575	HGNC:12554
C105580	HGNC:14893
C105583	HGNC:14894
C105592	HGNC:14895
C105596	HGNC:12681
C105599	HGNC:15972
C105602	HGNC:14540
C105605	HGNC:11642
C105608	HGNC:9397
C105651	HGNC:21528
C105654	HGNC:26058
C105657	HGNC:6183
C105661	HGNC:7667
C105664	HGNC:4636
C105679	HGNC:6442
C105682	HGNC:28932
C105695	HGNC:13992
C105702	HGNC:19405
C105717	HGNC:21231
C105729	HGNC:2664
C105737	HGNC:10751
C105821	HGNC:5098
C105822	HGNC:5110
C105829	HGNC:3721
C105832	HGNC:24573
C105835	HGNC:838
C105838	HGNC:1044
C105841	HGNC:3227
C105844	HGNC:4096
C105847	HGNC:6763
C105852	HGNC:8896
C105856	HGNC:1394
C105859	HGNC:7764
C105862	HGNC:12541
C105865	HGNC:6517
C105868	HGNC:5286
C105871	HGNC:12008
C105874	HGNC:11050
C105877	HGNC:2025
C105900	HGNC:29450
C105918	HGNC:17470
C105922	HGNC:7
C105925	HGNC:24099
C105928	HGNC:3180
C105931	HGNC:19117
C105934	HGNC:6533
C105937	HGNC:15846
C105941	HGNC:9229
C105944	HGNC:11269
C105953	HGNC:30672
C105956	HGNC:11634
C105961	HGNC:14900
C105964	HGNC:21393
C105967	HGNC:11928
C105972	HGNC:5975
C105977	HGNC:6427
C105981	HGNC:6416
C105985	HGNC:31537
C105988	HGNC:31561
C105991	HGNC:11377
C105994	HGNC:939
C105997	HGNC:9956
C106000	HGNC:11583
C106001	HGNC:11378
C106006	HGNC:5998
C106007	HGNC:10728
C106012	HGNC:4161
C106015	HGNC:15995
C106018	HGNC:11276
C106021	HGNC:54
C106024	HGNC:3072
C106027	HGNC:11270
C106030	HGNC:603
C106033	HGNC:17241
C106058	HGNC:16098
C106061	HGNC:18591
C106064	HGNC:11220
C106067	HGNC:28583
C106070	HGNC:10447
C106080	HGNC:688
C106083	HGNC:28993
C106086	HGNC:26270
C106089	HGNC:9548
C106092	HGNC:6333
C106095	HGNC:12642
C106098	HGNC:28210
C106107	HGNC:16920
C106110	HGNC:9668
C106113	HGNC:9674
C106136	HGNC:1910
C106139	HGNC:2385
C106142	HGNC:17660
C106162	HGNC:6919
C106190	HGNC:8028
C106198	HGNC:4485
C106206	HGNC:6535
C106209	HGNC:868
C106212	HGNC:320
C106215	HGNC:18135
C106218	HGNC:18133
C106221	HGNC:28873
C106224	HGNC:9175
C106227	HGNC:20932
C106232	HGNC:9177
C106237	HGNC:9182
C106240	HGNC:9183
C106244	HGNC:18278
C106249	HGNC:9812
C106255	HGNC:9901
C106263	HGNC:9824
C106269	HGNC:5951
C106274	HGNC:8615
C106277	HGNC:9827
C106280	HGNC:21700
C106283	HGNC:14060
C106286	HGNC:14124
C106289	HGNC:12502
C106292	HGNC:11951
C106295	HGNC:12334
C106298	HGNC:12472
C106306	HGNC:12572
C106309	HGNC:20876
C106321	HGNC:11603
C106327	HGNC:6075
C106331	HGNC:10997
C106334	HGNC:10998
C106337	HGNC:12488
C106340	HGNC:22202
C106343	HGNC:6387
C106346	HGNC:3218
C106349	HGNC:16744
C106352	HGNC:10662
C106355	HGNC:18365
C106358	HGNC:16052
C106361	HGNC:16820
C106364	HGNC:21649
C106413	HGNC:33499
C106416	HGNC:812
C106419	HGNC:4847
C106422	HGNC:4137
C106425	HGNC:13408
C106433	HGNC:20038
C106436	HGNC:7883
C106439	HGNC:9498
C106442	HGNC:2865
C106445	HGNC:5956
C106447	HGNC:9171
C106451	HGNC:4165
C106453	HGNC:26937
C106457	HGNC:14263
C106460	HGNC:1105
C106465	HGNC:15973
C106472	HGNC:489
C106488	HGNC:487
C106493	HGNC:1637
C106582	HGNC:2908
C106584	HGNC:21306
C106588	HGNC:11063
C106591	HGNC:1692
C106594	HGNC:2578
C106597	HGNC:7972
C106600	HGNC:1095
C106603	HGNC:30215
C106606	HGNC:6842
C106608	HGNC:10732
C106611	HGNC:6767
C106614	HGNC:10959
C106617	HGNC:10961
C106620	HGNC:6857
C106635	HGNC:15573
C106638	HGNC:21367
C106641	HGNC:18453
C107104	HGNC:13389
C107107	HGNC:115
C107110	HGNC:7063
C107113	HGNC:2214
C107116	HGNC:13291
C107119	HGNC:1915
C107122	HGNC:17294
C107125	HGNC:29149
