Source,Source Name,Source Code,Type,Rank,Target Name,Target Code,Target Terminology,Target Terminology Version
"NCI_Thesaurus","ADORA2B Gene","C38613","mapsTo","1","ADORA2B","HGNC:264","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADORA3 Gene","C38615","mapsTo","1","ADORA3","HGNC:268","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRA1A Gene","C21284","mapsTo","1","ADRA1A","HGNC:277","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRA1B Gene","C20936","mapsTo","1","ADRA1B","HGNC:278","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRA2A Gene","C21286","mapsTo","1","ADRA2A","HGNC:281","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRA2B Gene","C21288","mapsTo","1","ADRA2B","HGNC:282","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRA2C Gene","C107613","mapsTo","1","ADRA2C","HGNC:283","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRB1 Gene","C39778","mapsTo","1","ADRB1","HGNC:285","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRB2 Gene","C21293","mapsTo","1","ADRB2","HGNC:286","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRB3 Gene","C126971","mapsTo","1","ADRB3","HGNC:288","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADRM1 Gene","C171319","mapsTo","1","ADRM1","HGNC:15759","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AEBP1 Gene","C178707","mapsTo","1","AEBP1","HGNC:303","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AEBP2 Gene","C180421","mapsTo","1","AEBP2","HGNC:24051","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AFDN Gene","C24604","mapsTo","1","AFDN","HGNC:7137","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AFF1 Gene","C24602","mapsTo","1","AFF1","HGNC:7135","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AFF3 Gene","C24538","mapsTo","1","AFF3","HGNC:6473","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AFF4 Gene","C21385","mapsTo","1","AFF4","HGNC:17869","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AFP Gene","C21577","mapsTo","1","AFP","HGNC:317","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGER Gene","C106212","mapsTo","1","AGER","HGNC:320","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGO1 Gene","C84486","mapsTo","1","AGO1","HGNC:3262","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGO2 Gene","C84488","mapsTo","1","AGO2","HGNC:3263","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGO3 Gene","C84491","mapsTo","1","AGO3","HGNC:18421","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGO4 Gene","C84495","mapsTo","1","AGO4","HGNC:18424","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGPAT5 Gene","C114687","mapsTo","1","AGPAT5","HGNC:20886","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGR2 Gene","C20755","mapsTo","1","AGR2","HGNC:328","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGR3 Gene","C131365","mapsTo","1","AGR3","HGNC:24167","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGRP Gene","C115166","mapsTo","1","AGRP","HGNC:330","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
