C28788	CHEBI:63486
C288	CHEBI:2038
C28801	CHEBI:27613
C28801	CHEBI:17019
C28804	CHEBI:2361
C28806	CHEBI:2380
C28809	CHEBI:27690
C28816	CHEBI:15544
C28818	CHEBI:2619
C28820	CHEBI:2669
C28822	CHEBI:51063
C28824	CHEBI:40050
C28825	CHEBI:142290
C28826	CHEBI:55345
C28827	CHEBI:37510
C28827	CHEBI:2756
C28833	CHEBI:48720
C28834	CHEBI:2896
C28835	CHEBI:31243
C28836	CHEBI:2904
C28837	CHEBI:2911
C28838	CHEBI:575568
C28839	CHEBI:2915
C28840	CHEBI:16684
C28845	CHEBI:161680
C28858	CHEBI:2972
C28863	CHEBI:3032
C28864	CHEBI:3049
C28865	CHEBI:51765
C28866	CHEBI:3085
C28871	CHEBI:3128
C28875	CHEBI:3213
C28876	CHEBI:60789
C28876	CHEBI:31322
C28900	CHEBI:50749
C28904	CHEBI:3419
C28905	CHEBI:3438
C28906	CHEBI:3441
C28910	CHEBI:474180
C28912	CHEBI:53667
C28913	CHEBI:474053
C28914	CHEBI:3485
C28916	CHEBI:3505
C28919	CHEBI:3559
C28922	CHEBI:28142
C28923	CHEBI:116735
C28924	CHEBI:3640
C28926	CHEBI:3655
C28931	CHEBI:50369
C28932	CHEBI:3724
C28934	CHEBI:31414
C28935	CHEBI:3756
C28936	CHEBI:3766
C28937	CHEBI:59599
C28938	CHEBI:59602
C28941	CHEBI:3901
C28946	CHEBI:128458
C28947	CHEBI:3996
C28948	CHEBI:4025
C28949	CHEBI:59695
C28949	CHEBI:650917
C28974	CHEBI:4379
C28975	CHEBI:59725
C28979	CHEBI:4449
C28981	CHEBI:4469
C28982	CHEBI:49575
C28984	CHEBI:247956
C28985	CHEBI:47381
C28986	CHEBI:4511
C28987	CHEBI:4515
C28989	CHEBI:31174
C28990	CHEBI:4551
C28992	CHEBI:4604
C28994	CHEBI:53074
C28995	CHEBI:59784
C28996	CHEBI:4667
C28997	CHEBI:4671
C290	CHEBI:2948
C29000	CHEBI:4674
C29003	CHEBI:4703
C29005	CHEBI:4709
C29007	CHEBI:34730
C29010	CHEBI:652992
C29015	CHEBI:4724
C29020	CHEBI:42309
C29023	CHEBI:28195
C29027	CHEBI:119486
C29029	CHEBI:28934
C29033	CHEBI:4878
C29036	CHEBI:4913
C29044	CHEBI:4974
C29045	CHEBI:4975
C29046	CHEBI:585948
C29047	CHEBI:5001
C29053	CHEBI:5108
C29058	CHEBI:31625
C29061	CHEBI:31441
C29070	CHEBI:5280
C29071	CHEBI:5296
C29073	CHEBI:5383
C29075	CHEBI:37878
C29076	CHEBI:5441
C29077	CHEBI:17754
C29081	CHEBI:5551
C29097	CHEBI:15571
C29099	CHEBI:5780
C291	CHEBI:35668
C29103	CHEBI:5818
C29104	CHEBI:17486
C29105	CHEBI:17368
C29116	CHEBI:5882
C29128	CHEBI:5957
C29130	CHEBI:5959
C29134	CHEBI:6061
C29142	CHEBI:650657
C29146	CHEBI:6343
C29148	CHEBI:6359
C29150	CHEBI:6375
C29151	CHEBI:6384
C29153	CHEBI:6439
C29158	CHEBI:63607
C29159	CHEBI:6503
C29171	CHEBI:18019
C292	CHEBI:22681
C29239	CHEBI:25107
C29242	CHEBI:31794
C29247	CHEBI:31812
C29249	CHEBI:6775
C29253	CHEBI:53448
C29262	CHEBI:6637
C29263	CHEBI:34850
C29265	CHEBI:6950
C29268	CHEBI:47564
C29272	CHEBI:62932
C29277	CHEBI:63613
C29279	CHEBI:7466
C29280	CHEBI:7444
C29281	CHEBI:51919
C29283	CHEBI:7495
C29290	CHEBI:7565
C29293	CHEBI:71415
C29294	CHEBI:28787
C293	CHEBI:2956
C29305	CHEBI:7799
C29306	CHEBI:7820
C29309	CHEBI:7852
C29322	CHEBI:8163
C29346	CHEBI:7915
C29349	CHEBI:7977
C29354	CHEBI:34911
C29355	CHEBI:8028
C29359	CHEBI:34914
C29361	CHEBI:50506
C29363	CHEBI:8094
C29365	CHEBI:18067
C29368	CHEBI:50305
C29370	CHEBI:17246
C29372	CHEBI:64746
C29374	CHEBI:51147
C29375	CHEBI:8361
C29382	CHEBI:8500
C29384	CHEBI:44915
C29385	CHEBI:8498
