"Source Code","Source Name","Source Coding Scheme","Source Coding Scheme Version","Source Coding Scheme Namespace","Association","REL","Map Rank","Target Code","Target Name","Target Coding Scheme","Target Coding Scheme Version","Target Coding Scheme Namespace"
"C24531","JTB Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6201","JTB","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C19531","JUN Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6204","JUN","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C18429","JUNB Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6205","JUNB","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C18428","JUND Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6206","JUND","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C21280","JUP Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6207","JUP","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C181951","KAAG1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:21031","KAAG1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C185423","KALRN Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:4814","KALRN","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C102805","KANSL1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:24565","KANSL1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C200657","KARS1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6215","KARS1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C26573","KAT2B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:8638","KAT2B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C26575","KAT5 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:5275","KAT5","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C71429","KAT6A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:13013","KAT6A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C71431","KAT6B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:17582","KAT6B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C73660","KAT7 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:17016","KAT7","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C73658","KAT8 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:17933","KAT8","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C102452","KATNAL2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:25387","KATNAL2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C186678","KBTBD4 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:23761","KBTBD4","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C191367","KCNA2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6220","KCNA2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C190853","KCNB1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6231","KCNB1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C178710","KCNG4 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:19697","KCNG4","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C95838","KCNJ5 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6266","KCNJ5","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C94674","KCNK18 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:19439","KCNK18","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C101363","KCNMA1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6284","KCNMA1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C75622","KCNQ1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6294","KCNQ1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C114316","KCNQ1OT1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6295","KCNQ1OT1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C190835","KCNT1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:18865","KCNT1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C78141","KDM1A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:29079","KDM1A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C120057","KDM2B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:13610","KDM2B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C134311","KDM3A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:20815","KDM3A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C177186","KDM3B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:1337","KDM3B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C189060","KDM4B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:29136","KDM4B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C148356","KDM4C Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:17071","KDM4C","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C97595","KDM5A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:9886","KDM5A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C24684","KDM5B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:18039","KDM5B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C97598","KDM5C Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:11114","KDM5C","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
